Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
F36_KNP,F26_KNP,U,-49.22,,-,2.88,7.91,9999
F36_KNP,F27_KNP,U,-41.22,,-,2.39,7.35,9999
F36_KNP,F28_KNP,U,-38.41,,-,0.69,3.55,9999
F36_KNP,F29_KNP,HS,-38.14,,0.1,-,0.74,9999
F36_KNP,F30_KNP,U,-47.45,,-,2.28,5.49,9999
F36_KNP,F31_KNP,U,-46.92,,-,1.53,5.29,9999
F36_KNP,F32_KNP,HS,-41.12,,0.02,-,1.47,9999
F36_KNP,F33_KNP,U,-50.25,,-,1.42,4.18,9999
F36_KNP,F34_KNP,HS,-46.2,,0.88,-,1.24,0.38
F36_KNP,F35_KNP,U,-39.27,,-,0.08,2.6,9999
F37_KNP,F13_KNP,HS,-50.16,,0.01,-,3.03,9999
F37_KNP,F14_KNP,U,-48.7,,-,0.99,4.21,9999
F37_KNP,F15_KNP,U,-52.59,,-,3.02,7.47,9999
F37_KNP,F16_KNP,U,-43.72,,-,0.7,3.03,9999
F37_KNP,F17_KNP,U,-56.12,,-,3.29,7.49,9999
F37_KNP,F18_KNP,U,-54.74,,-,0.18,2.75,9999
F37_KNP,F19_KNP,U,-50.42,,-,0.76,4.34,9999
F37_KNP,F20_KNP,U,-51.14,,-,0.22,3.48,9999
F37_KNP,F21_KNP,U,-50.9,,-,4.41,9.8,9999
F37_KNP,F22_KNP,U,-52.84,,-,2.58,7,9999
F37_KNP,F23_KNP,U,-48.26,,-,2.9,6.81,9999
F37_KNP,F24_KNP,U,-57.73,,-,2.48,6.83,9999
F37_KNP,F25_KNP,U,-46.32,,-,0.81,2.64,9999
F37_KNP,F26_KNP,U,-56.85,,-,0.22,4.15,9999
F37_KNP,F27_KNP,HS,-49.29,,0.57,-,1.75,9999
F37_KNP,F28_KNP,U,-46.57,,-,3.55,8.9,9999
F37_KNP,F29_KNP,U,-47.15,,-,0.24,1.42,9999
F37_KNP,F30_KNP,U,-54.21,,-,2.28,5.98,9999
F37_KNP,F31_KNP,U,-53.68,,-,1.1,4.29,9999
F37_KNP,F32_KNP,U,-47.95,,-,2.77,7.76,9999
F37_KNP,F33_KNP,U,-58.84,,-,0.2,2.73,9999
F37_KNP,F34_KNP,U,-55.67,,-,1.76,5.94,9999
F37_KNP,F35_KNP,U,-48.17,,-,0.05,2.08,9999
F37_KNP,F36_KNP,U,-46.22,,-,1.33,4.39,9999
F38_KNP,F13_KNP,HS,-38.03,,1.26,-,0.36,9999
F38_KNP,F14_KNP,PO,-35.62,,2.15,0.76,2.42,-
F38_KNP,F15_KNP,U,-42.03,,-,1.72,5.48,9999
F38_KNP,F16_KNP,FS,-32.21,,1.05,0.18,-,9999
F38_KNP,F17_KNP,U,-45.24,,-,1.79,5.32,9999
F38_KNP,F18_KNP,U,-43.81,,-,0.54,3.37,9999
F38_KNP,F19_KNP,U,-39.54,,-,1.19,2.99,9999
F38_KNP,F20_KNP,U,-40.25,,-,1.61,5.12,9999
F38_KNP,F21_KNP,U,-39.7,,-,2.55,6.03,9999
F38_KNP,F22_KNP,U,-41.96,,-,3.16,7.96,9999
F38_KNP,F23_KNP,U,-37.8,,-,0.88,3.69,9999
F38_KNP,F24_KNP,U,-47.28,,-,4.51,9.89,9999
F38_KNP,F25_KNP,FS,-33.88,,1.24,0.55,-,9999
F38_KNP,F26_KNP,U,-46.92,,-,3.83,9.35,9999
F38_KNP,F27_KNP,U,-38.93,,-,1.31,3.47,9999
F38_KNP,F28_KNP,PO,-33.47,,2.64,1,0.66,-
F38_KNP,F29_KNP,FS,-35.72,,0.22,0.09,-,9999
F38_KNP,F30_KNP,U,-45.15,,-,1.23,4.35,9999
F38_KNP,F31_KNP,U,-44.62,,-,1.51,5.14,9999
F38_KNP,F32_KNP,U,-38.85,,-,1.36,4.02,9999
F38_KNP,F33_KNP,U,-47.95,,-,1.98,5.74,9999
F38_KNP,F34_KNP,U,-44.78,,-,1.79,5.44,9999
F38_KNP,F35_KNP,U,-36.97,,-,0.57,2.33,9999
F38_KNP,F36_KNP,U,-35.02,,-,0.05,1.21,9999
F38_KNP,F37_KNP,U,-43.93,,-,1.05,2.72,9999
F40_KNP,F13_KNP,HS,-36.37,,1.39,-,0.21,9999
F40_KNP,F14_KNP,U,-36.24,,-,0.41,2.85,9999
F40_KNP,F15_KNP,HS,-39.84,,0.66,-,1.01,9999
F40_KNP,F16_KNP,PO,-29.49,,2.24,0.9,0.47,-
F40_KNP,F17_KNP,U,-43.71,,-,1.43,5.36,9999
F40_KNP,F18_KNP,U,-42.28,,-,0.86,4.27,9999
F40_KNP,F19_KNP,U,-38.01,,-,0.64,0.77,9999
F40_KNP,F20_KNP,U,-38.73,,-,1.42,4.86,9999
F40_KNP,F21_KNP,U,-38.17,,-,0.94,2.66,9999
F40_KNP,F22_KNP,U,-40.43,,-,2.97,7.57,9999
F40_KNP,F23_KNP,U,-36.27,,-,0.34,2.81,1.13
F40_KNP,F24_KNP,U,-45.75,,-,3.49,8.18,9999
F40_KNP,F25_KNP,FS,-31.24,,2.35,1,-,0.15
F40_KNP,F26_KNP,U,-45.4,,-,3.02,7.36,9999
F40_KNP,F27_KNP,HS,-36.91,,0.49,-,1.26,0.25
F40_KNP,F28_KNP,PO,-32.95,,1.64,0.58,1.11,-
F40_KNP,F29_KNP,PO,-30.99,,3.43,1.54,0.6,-
F40_KNP,F30_KNP,U,-43.62,,-,0.74,3.49,9999
F40_KNP,F31_KNP,U,-43.09,,-,1.13,4.58,9999
F40_KNP,F32_KNP,PO,-35.49,,1.83,0.7,0.69,-
F40_KNP,F33_KNP,U,-46.43,,-,2.98,7.26,9999
F40_KNP,F34_KNP,U,-43.26,,-,0.63,4.23,1.56
F40_KNP,F35_KNP,HS,-35.13,,0.31,-,0.67,0.05
F40_KNP,F36_KNP,HS,-32.89,,0.61,-,1.44,9999
F40_KNP,F37_KNP,U,-42.4,,-,1.18,4.51,9999
F40_KNP,F38_KNP,FS,-28.52,,2.68,1.29,-,9999
F41_KNP,F13_KNP,U,-43.98,,-,0.73,4.02,9999
F41_KNP,F14_KNP,U,-42.46,,-,2.7,6.26,9999
F41_KNP,F15_KNP,U,-46.72,,-,1.41,3.59,9999
F41_KNP,F16_KNP,U,-37.95,,-,0.71,2.51,9999
F41_KNP,F17_KNP,U,-49.93,,-,0.72,3.17,9999
F41_KNP,F18_KNP,HS,-48.33,,0.17,-,1.1,9999
F41_KNP,F19_KNP,U,-44.23,,-,2.06,5.16,9999
F41_KNP,F20_KNP,U,-44.94,,-,2.24,6.18,9999
F41_KNP,F21_KNP,U,-44.39,,-,0.08,2.13,9999
F41_KNP,F22_KNP,U,-46.65,,-,0.39,3.42,9999
F41_KNP,F23_KNP,FS,-40.94,,1.55,0.18,-,9999
F41_KNP,F24_KNP,U,-51.97,,-,1.15,5.02,9999
F41_KNP,F25_KNP,U,-39.81,,-,1.04,3.47,9999
F41_KNP,F26_KNP,U,-51.61,,-,2.42,6.67,9999
F41_KNP,F27_KNP,U,-43.62,,-,1.32,4.12,9999
F41_KNP,F28_KNP,HS,-40.38,,0.43,-,1.37,9999
F41_KNP,F29_KNP,U,-40.64,,-,1.38,4.25,9999
F41_KNP,F30_KNP,U,-49.84,,-,1.85,5.19,9999
F41_KNP,F31_KNP,U,-49.31,,-,2.59,7.34,9999
F41_KNP,F32_KNP,U,-43.54,,-,1.57,4.42,9999
F41_KNP,F33_KNP,U,-52.64,,-,1.03,5.4,9999
F41_KNP,F34_KNP,U,-49.48,,-,2.9,7.68,9999
F41_KNP,F35_KNP,PO,-40.36,,1.3,0.07,0.31,-
F41_KNP,F36_KNP,HS,-39.66,,0.06,-,1.3,9999
F41_KNP,F37_KNP,U,-48.35,,-,1.77,6.25,9999
F41_KNP,F38_KNP,HS,-37,,0.42,-,2.12,0.11
F41_KNP,F40_KNP,HS,-35.68,,0.21,-,0.78,0.11
F42_KNP,F13_KNP,U,-39.31,,-,0.05,1.04,9999
F42_KNP,F14_KNP,U,-37.79,,-,1.91,5.12,9999
F42_KNP,F15_KNP,U,-42.05,,-,1.93,4.31,9999
F42_KNP,F16_KNP,PO,-31.65,,1.64,0.5,0.81,-
F42_KNP,F17_KNP,U,-45.26,,-,1.07,4.89,9999
F42_KNP,F18_KNP,U,-43.83,,-,1.95,6.06,9999
F42_KNP,F19_KNP,HS,-38.85,,0.72,-,0.16,9999
F42_KNP,F20_KNP,U,-40.28,,-,1.96,5.76,9999
F42_KNP,F21_KNP,U,-39.72,,-,1.47,4.28,9999
F42_KNP,F22_KNP,U,-41.98,,-,2.33,6.69,9999
F42_KNP,F23_KNP,HS,-37.4,,0.42,-,1.43,0.17
F42_KNP,F24_KNP,U,-47.3,,-,2.47,6.08,9999
F42_KNP,F25_KNP,U,-35.15,,-,0.1,1.31,9999
F42_KNP,F26_KNP,U,-46.95,,-,4.37,9.51,9999
