Ind1,Ind2,R,slim_days1,x1,y1,slim_days2,x2,y2
F45_KNP,F16_KNP,PO,240,9.713479867366884,21.853365443376443,132,37.208050903686534,29.532762183574317
F45_KNP,F28_KNP,PO,240,9.713479867366884,21.853365443376443,194,31.77475885221298,35.566176711535704
F45_KNP,F40_KNP,PO,240,9.713479867366884,21.853365443376443,174,29.34451460810495,44.289140965888414
F45_KNP,F42_KNP,PO,240,9.713479867366884,21.853365443376443,239,10.24364793743831,22.19627836718737
F46_KNP,F15_KNP,PO,287,21.851724584660932,52.25769674337107,132,37.19507440043886,29.564273067232392
F46_KNP,F35_KNP,PO,287,21.851724584660932,52.25769674337107,274,23.41071458873721,43.88505978419031
F47_KNP,F28_KNP,PO,255,9.266729791944092,7.734619372875069,194,31.77475885221298,35.566176711535704
F47_KNP,F38_KNP,PO,255,9.266729791944092,7.734619372875069,174,29.363052310995677,44.350309223775575
F47_KNP,F40_KNP,PO,255,9.266729791944092,7.734619372875069,174,29.34451460810495,44.289140965888414
F47_KNP,F42_KNP,PO,255,9.266729791944092,7.734619372875069,239,10.24364793743831,22.19627836718737
F47_KNP,F44_KNP,PO,255,9.266729791944092,7.734619372875069,239,10.093495547070212,22.062820349979006
F48_KNP,F21_KNP,PO,255,9.261168592301035,7.727205001514042,152,18.570616795132626,30.711641335581515
F50_KNP,F21_KNP,PO,59,14.661090109194992,19.897835145276176,152,18.570616795132626,30.711641335581515
M33_KNP,F23_KNP,PO,255,9.300096989804022,7.814323503557291,152,18.572470899093783,30.71534846565453
M34_KNP,F32_KNP,PO,136,5.6204369299212855,14.830137287786355,194,31.268689684675735,36.261270551162596
M35_KNP,F16_KNP,PO,136,5.815078917435428,14.707800772012018,132,37.208050903686534,29.532762183574317
M35_KNP,F47_KNP,PO,136,5.815078917435428,14.707800772012018,255,9.266729791944092,7.734619372875069
M43_KNP,F34_KNP,PO,135,36.73534893400882,29.840457093654152,274,23.345092432946753,43.77718122028023
M44_KNP,F16_KNP,PO,121,18.12757492763215,53.727588553307065,132,37.208050903686534,29.532762183574317
M44_KNP,F25_KNP,PO,121,18.12757492763215,53.727588553307065,152,18.644766494456302,30.707934205508515
M44_KNP,F31_KNP,PO,121,18.12757492763215,53.727588553307065,194,31.331716984712898,36.00732963882391
M47_KNP,F15_KNP,PO,194,30.605052823165778,37.03977565154471,132,37.19507440043886,29.564273067232392
M47_KNP,F32_KNP,PO,194,30.605052823165778,37.03977565154471,194,31.268689684675735,36.261270551162596
M47_KNP,F50_KNP,PO,194,30.605052823165778,37.03977565154471,59,14.661090109194992,19.897835145276176
M48_KNP,F33_KNP,PO,195,36.496217349348235,32.517031697967425,274,23.356214832233267,43.64149890278506
M48_KNP,F43_KNP,PO,195,36.496217349348235,32.517031697967425,239,10.225110234547582,22.18515686575334
M48_KNP,M42_KNP,PO,195,36.496217349348235,32.517031697967425,134,33.26886745229133,26.976670474391373
M49_KNP,F21_KNP,PO,274,23.3395312333033,43.83167657730698,152,18.570616795132626,30.711641335581515
M49_KNP,F32_KNP,PO,274,23.3395312333033,43.83167657730698,194,31.268689684675735,36.261270551162596
M49_KNP,F36_KNP,PO,274,23.3395312333033,43.83167657730698,274,23.33730675344608,43.837237328023996
M49_KNP,F47_KNP,PO,274,23.3395312333033,43.83167657730698,255,9.266729791944092,7.734619372875069
M49_KNP,F50_KNP,PO,274,23.3395312333033,43.83167657730698,59,14.661090109194992,19.897835145276176
M49_KNP,M35_KNP,PO,274,23.3395312333033,43.83167657730698,136,5.815078917435428,14.707800772012018
M50_KNP,F15_KNP,PO,274,23.436296107096464,43.526947438014545,132,37.19507440043886,29.564273067232392
M50_KNP,F29_KNP,PO,274,23.436296107096464,43.526947438014545,194,31.72656215938464,35.65700234365197
M50_KNP,F32_KNP,PO,274,23.436296107096464,43.526947438014545,194,31.268689684675735,36.261270551162596
M50_KNP,M47_KNP,PO,274,23.436296107096464,43.526947438014545,194,30.605052823165778,37.03977565154471
M51_KNP,F16_KNP,PO,144,24.445097722385125,31.912763490456783,132,37.208050903686534,29.532762183574317
M51_KNP,F18_KNP,PO,144,24.445097722385125,31.912763490456783,135,36.929990921522965,29.686609583006724
M51_KNP,F35_KNP,PO,144,24.445097722385125,31.912763490456783,274,23.41071458873721,43.88505978419031
M51_KNP,M35_KNP,PO,144,24.445097722385125,31.912763490456783,136,5.815078917435428,14.707800772012018
M51_KNP,M49_KNP,PO,144,24.445097722385125,31.912763490456783,274,23.3395312333033,43.83167657730698
M54_KNP,F16_KNP,PO,239,10.210280739578776,22.136963729944213,132,37.208050903686534,29.532762183574317
M54_KNP,F25_KNP,PO,239,10.210280739578776,22.136963729944213,152,18.644766494456302,30.707934205508515
M54_KNP,F40_KNP,PO,239,10.210280739578776,22.136963729944213,174,29.34451460810495,44.289140965888414
M55_KNP,F43_KNP,PO,239,10.14354634385971,22.10359922564212,239,10.225110234547582,22.18515686575334
M55_KNP,F45_KNP,PO,239,10.14354634385971,22.10359922564212,240,9.713479867366884,21.853365443376443
M55_KNP,M54_KNP,PO,239,10.14354634385971,22.10359922564212,239,10.210280739578776,22.136963729944213
M56_KNP,F16_KNP,PO,240,9.7208951709711,21.85892619409346,132,37.208050903686534,29.532762183574317
